userid,timestamp,itemid,interactiontype,feature1,feature2,purchase
680,2025-09-15 20:08:21,item-16,click,78.95,14.03,0
84,2026-01-29 15:58:42,item-40,favorite,60.57,14.34,0
399,2026-06-03 15:50:49,item-19,favorite,46.36,14.46,1
779,2025-11-21 00:49:25,item-35,purchase,82.28,14.58,0
585,2025-11-30 22:44:24,item-47,view,3.82,14.59,0
737,2025-08-31 21:50:48,item-11,purchase,55.31,14.75,1
798,2026-01-10 02:36:34,item-54,favorite,77.12,14.92,0
752,2022-06-29 20:50:37,item-53,purchase,94.26,15.05,1
348,2022-05-27 11:32:53,item-98,click,47.21,15.13,0
637,2023-02-24 06:02:38,item-62,view,88.57,15.34,0
509,2025-06-15 22:55:25,item-9,favorite,60.4,15.37,0
453,2021-10-02 04:19:34,item-18,add-to-cart,92.13,15.52,0
342,2025-02-11 05:04:32,item-26,view,97.56,15.55,0
893,2025-06-29 14:57:29,item-44,purchase,54.91,15.73,0
419,2023-01-20 12:41:33,item-86,add-to-cart,82.18,15.93,0
104,2026-05-13 10:07:42,item-28,purchase,84.93,15.97,0
753,2026-03-15 08:55:32,item-81,purchase,42.79,16.07,0
639,2025-08-13 12:31:45,item-73,view,14.24,16.19,0
798,2024-10-07 09:09:01,item-81,click,9.55,16.35,0
347,2023-12-30 08:38:37,item-93,add-to-cart,39.44,16.44,0
746,2026-04-19 02:00:22,item-39,view,98.49,16.55,0
624,2025-05-20 00:07:37,item-43,click,96.19,16.57,0
832,2022-01-24 19:32:51,item-19,click,83.11,16.65,1
385,2024-07-24 18:05:02,item-13,click,24.09,16.82,0
772,2024-02-01 05:06:42,item-50,favorite,18.93,16.97,0
809,2025-08-06 16:03:13,item-69,view,88.8,17.04,0
788,2023-06-02 18:45:29,item-49,add-to-cart,72.53,17.06,0
24,2026-03-17 10:37:06,item-62,purchase,88.47,17.32,1
547,2022-08-09 01:22:36,item-14,add-to-cart,97.84,17.35,0
60,2022-01-21 22:12:29,item-2,purchase,43.0,17.56,1
246,2024-02-18 06:28:51,item-51,favorite,31.27,17.58,0
196,2022-02-18 21:17:17,item-38,view,58.69,17.6,0
630,2025-04-06 03:50:39,item-2,add-to-cart,49.86,17.65,0
982,2026-06-11 10:45:05,item-100,add-to-cart,93.92,17.93,0
163,2025-11-07 13:16:57,item-3,view,60.22,18.02,0
374,2024-11-15 00:13:22,item-42,add-to-cart,19.27,18.02,0
784,2025-06-17 07:45:30,item-57,add-to-cart,30.35,18.13,0
9,2024-04-28 09:08:05,item-76,favorite,35.24,18.24,0
640,2026-03-15 12:47:18,item-17,add-to-cart,57.4,18.25,0
735,2026-04-02 08:32:42,item-82,view,90.57,18.43,0
175,2026-05-14 11:49:18,item-67,view,30.31,18.47,0
774,2024-01-16 06:28:19,item-49,view,39.28,18.5,0
10,2025-03-25 10:20:48,item-18,favorite,32.05,18.66,0
156,2025-09-10 14:42:19,item-28,purchase,57.22,18.66,1
970,2022-05-10 20:49:17,item-3,favorite,81.07,18.67,0
228,2022-12-06 09:25:12,item-3,click,61.54,18.68,1
644,2023-03-28 08:03:45,item-53,favorite,31.89,18.71,0
74,2025-04-10 22:51:41,item-90,click,34.24,18.72,1
662,2025-08-12 06:59:51,item-23,purchase,18.25,18.72,1
861,2025-05-05 11:42:16,item-22,add-to-cart,20.5,18.74,0
585,2025-07-23 07:47:35,item-14,favorite,31.57,18.8,0
966,2024-02-29 00:19:01,item-97,click,82.64,18.86,0
936,2025-08-19 17:21:51,item-73,view,54.67,18.97,0
357,2026-03-26 04:46:42,item-11,click,80.51,19.03,0
959,2024-03-12 09:26:55,item-67,click,26.97,19.06,0
149,2025-12-30 21:51:48,item-49,purchase,31.8,19.09,0
166,2025-02-09 05:56:14,item-24,purchase,31.35,19.15,1
732,2025-03-10 13:11:22,item-40,click,11.21,19.25,0
294,2025-10-01 00:33:24,item-78,purchase,27.85,19.31,0
938,2026-03-29 00:07:03,item-69,add-to-cart,24.63,19.32,1
197,2025-04-23 01:57:37,item-70,favorite,59.52,19.33,0
729,2024-05-26 21:08:39,item-75,favorite,12.67,19.45,0
57,2024-07-19 22:53:07,item-100,add-to-cart,54.86,19.46,0
856,2025-03-03 16:33:48,item-8,add-to-cart,65.26,19.48,0
56,2022-01-26 02:16:31,item-38,view,22.41,19.49,0
169,2025-12-09 06:06:22,item-31,add-to-cart,91.18,19.61,0
634,2026-01-18 17:33:14,item-100,view,59.51,19.61,0
767,2026-05-03 07:18:41,item-91,add-to-cart,93.05,19.74,0
728,2025-04-19 11:04:24,item-87,view,87.16,19.88,0
453,2023-07-23 15:16:06,item-97,purchase,37.01,20.2,1
641,2024-03-28 13:44:38,item-61,favorite,74.56,20.36,0
982,2025-10-26 02:22:53,item-38,favorite,37.45,20.38,0
651,2023-09-29 16:32:45,item-64,view,50.26,20.44,0
59,2025-01-06 10:09:44,item-10,add-to-cart,23.26,20.54,0
355,2025-01-15 18:47:47,item-14,favorite,61.29,20.63,0
547,2022-03-30 20:37:10,item-70,add-to-cart,1.89,20.65,0
608,2026-01-29 08:28:08,item-47,view,57.92,20.65,0
505,2024-02-05 10:51:37,item-30,add-to-cart,88.39,20.7,0
688,2025-08-11 14:29:57,item-45,favorite,75.1,20.75,0
840,2023-11-01 23:49:13,item-26,purchase,93.23,20.89,1
27,2023-08-09 08:26:46,item-56,purchase,63.99,20.91,1
965,2025-11-16 08:18:22,item-33,add-to-cart,93.79,20.94,0
142,2023-01-19 18:33:30,item-81,view,86.71,20.96,0
540,2025-03-09 20:31:34,item-46,click,39.45,21,0
185,2026-02-19 13:07:10,item-30,view,28.4,21.02,0
434,2026-07-03 14:55:28,item-14,click,88.45,21.05,0
938,2025-08-13 03:21:10,item-1,view,99.11,21.09,0
802,2025-09-25 08:07:05,item-66,click,27.73,21.11,1
911,2026-01-01 18:14:50,item-95,purchase,11.82,21.24,1
589,2023-12-11 05:35:13,item-81,add-to-cart,96.13,21.26,0
410,2022-09-13 13:29:24,item-57,purchase,97.52,21.27,0
51,2026-05-06 00:37:27,item-80,view,46.39,21.29,0
559,2024-03-18 23:17:34,item-10,view,9.09,21.29,0
502,2026-02-17 12:46:52,item-98,view,42.37,21.4,0
57,2026-05-30 09:34:38,item-35,add-to-cart,9.43,21.41,0
295,2026-05-30 12:17:09,item-19,favorite,63.46,21.41,0
746,2025-07-08 15:09:36,item-100,view,60.83,21.47,0
829,2025-05-25 23:23:16,item-36,favorite,26.13,21.49,0
627,2025-07-11 06:40:01,item-52,click,2.25,21.53,1
679,2025-05-02 08:40:57,item-29,click,78.84,21.53,0
220,2024-04-09 00:23:37,item-69,view,39.13,21.56,0
524,2026-03-01 21:39:58,item-46,view,65.7,21.58,0
489,2024-08-16 11:00:30,item-74,view,27.41,21.63,0
519,2025-02-11 19:23:54,item-17,click,38.29,21.67,0
312,2024-08-23 07:23:21,item-1,click,10.81,21.69,1
985,2024-04-27 18:00:34,item-67,purchase,70.1,21.75,1
631,2025-10-26 14:39:13,item-59,view,55.28,21.77,1
189,2025-10-01 01:21:07,item-17,click,59.49,21.78,0
391,2025-08-15 05:57:47,item-89,add-to-cart,5.85,21.88,0
55,2025-10-03 19:19:47,item-17,view,30.37,21.99,0
546,2026-02-09 03:51:57,item-13,purchase,76.72,21.99,1
905,2023-03-01 09:46:00,item-87,view,97.35,22.01,0
41,2025-08-18 06:30:20,item-6,add-to-cart,42.46,22.1,0
403,2024-04-28 04:38:21,item-11,add-to-cart,33.54,22.14,0
186,2025-11-09 20:12:04,item-93,view,56.11,22.15,0
368,2025-08-14 08:28:06,item-54,purchase,72.41,22.15,1
971,2024-09-17 05:30:38,item-94,favorite,26.36,22.24,0
939,2024-10-30 15:46:18,item-99,add-to-cart,27.39,22.25,0
164,2025-07-27 07:43:43,item-81,favorite,88.66,22.27,0
186,2025-10-26 21:19:17,item-90,view,47.68,22.3,0
546,2026-05-09 07:22:49,item-49,add-to-cart,58.82,22.36,0
432,2023-04-07 18:56:08,item-48,click,12.14,22.43,0
38,2025-11-05 01:34:05,item-98,favorite,69.06,22.48,1
445,2023-08-29 08:41:40,item-67,add-to-cart,79.32,22.49,0
223,2024-07-13 10:15:22,item-26,purchase,5.0,22.5,1
883,2023-08-24 15:23:38,item-70,view,5.75,22.5,0
773,2025-09-18 01:04:56,item-99,purchase,35.01,22.51,1
389,2022-11-25 11:17:41,item-32,purchase,37.52,22.52,0
544,2021-10-18 21:21:13,item-100,favorite,7.71,22.56,0
332,2024-05-11 09:00:48,item-47,purchase,77.83,22.59,1
595,2025-09-21 19:55:33,item-57,click,60.5,22.69,0
822,2023-03-11 04:11:23,item-93,favorite,75.99,22.7,0
235,2023-09-06 02:50:03,item-91,view,79.55,22.72,0
791,2024-05-25 08:52:45,item-85,favorite,56.49,22.73,0
630,2025-02-25 02:42:02,item-16,favorite,62.07,22.82,0
947,2025-11-21 13:16:16,item-84,view,55.03,22.84,0
899,2026-04-29 00:48:48,item-87,add-to-cart,99.49,22.96,0
460,2024-12-08 02:00:34,item-45,favorite,95.32,23.04,0
567,2022-12-02 22:51:01,item-19,purchase,97.13,23.06,1
129,2022-12-21 14:26:17,item-28,view,21.11,23.09,0
948,2024-08-02 15:19:30,item-78,add-to-cart,0.3,23.22,0
265,2025-12-28 12:19:23,item-25,add-to-cart,73.36,23.23,0
829,2025-10-31 15:18:36,item-14,view,60.65,23.34,0
135,2025-01-17 21:34:24,item-72,add-to-cart,70.77,23.41,0
335,2025-06-27 04:58:27,item-39,purchase,58.98,23.43,1
10,2024-05-27 11:05:44,item-99,add-to-cart,33.02,23.5,0
859,2025-07-06 09:53:32,item-11,view,60.47,23.5,0
269,2026-03-28 14:54:02,item-70,click,30.3,23.52,1
79,2026-06-03 11:35:16,item-42,add-to-cart,64.93,23.53,0
214,2025-11-27 14:06:29,item-41,favorite,88.87,23.55,1
810,2022-06-18 04:24:26,item-45,view,84.37,23.56,0
399,2026-04-22 20:31:59,item-69,purchase,39.01,23.63,1
97,2023-11-13 12:35:11,item-42,purchase,63.69,23.77,1
755,2026-05-31 07:33:18,item-39,purchase,6.9,23.81,1
773,2026-02-08 08:35:45,item-70,purchase,60.77,23.83,1
910,2025-06-14 06:40:56,item-24,view,24.18,23.85,0
428,2022-07-02 03:00:34,item-47,view,63.44,23.87,0
169,2026-01-17 11:48:33,item-73,purchase,64.98,23.92,1
945,2024-03-02 21:36:34,item-34,purchase,25.76,23.92,1
883,2024-08-22 03:47:50,item-30,click,15.76,23.95,0
319,2024-07-03 04:58:00,item-21,purchase,17.08,23.98,1
433,2025-06-12 09:54:23,item-29,purchase,23.85,24.01,1
490,2025-12-22 18:27:27,item-62,purchase,4.81,24.02,1
499,2026-01-18 18:20:21,item-82,view,17.34,24.05,0
745,2023-12-14 18:46:27,item-97,view,50.18,24.13,0
478,2024-06-12 19:57:34,item-17,add-to-cart,19.31,24.18,0
514,2024-08-14 19:19:08,item-54,favorite,30.5,24.2,0
357,2025-09-24 11:03:12,item-81,click,11.13,24.23,1
788,2023-02-22 17:45:32,item-90,purchase,25.92,24.25,1
522,2025-12-15 08:56:39,item-78,purchase,16.28,24.33,1
996,2026-03-04 16:42:48,item-24,favorite,32.43,24.35,0
238,2024-07-05 20:34:03,item-32,click,7.05,24.39,1
97,2025-11-26 19:12:37,item-27,click,89.72,24.42,0
845,2023-05-08 21:16:26,item-13,click,87.45,24.48,0
568,2022-10-23 07:36:44,item-78,add-to-cart,83.39,24.49,0
206,2021-12-14 01:44:43,item-71,view,24.87,24.5,0
545,2021-11-21 12:34:58,item-21,add-to-cart,44.51,24.5,1
217,2025-09-20 22:01:55,item-94,purchase,59.88,24.53,1
715,2024-05-16 02:05:21,item-92,favorite,77.71,24.53,0
895,2026-04-29 19:33:36,item-73,click,47.17,24.55,0
945,2025-08-25 19:43:31,item-70,click,76.43,24.6,1
600,2025-10-26 16:10:36,item-95,favorite,55.07,24.61,1
171,2024-07-08 12:08:25,item-83,click,86.31,24.62,1
905,2023-04-01 08:54:47,item-72,add-to-cart,13.71,24.64,0
140,2024-09-14 20:16:27,item-13,purchase,88.45,24.75,1
659,2024-10-17 00:48:30,item-19,add-to-cart,87.31,24.76,0
255,2024-10-31 18:27:57,item-72,purchase,55.48,24.77,1
174,2026-06-26 04:26:06,item-93,add-to-cart,1.98,24.79,0
265,2025-03-16 02:11:38,item-6,click,58.24,24.83,1
71,2024-01-01 00:05:09,item-100,add-to-cart,38.17,24.86,0
367,2024-03-16 08:17:11,item-31,purchase,69.41,24.89,0
472,2025-08-06 11:46:58,item-13,add-to-cart,88.32,24.94,0
43,2026-04-14 17:41:02,item-2,add-to-cart,90.93,24.97,0
850,2025-01-02 00:21:28,item-57,favorite,59.41,24.97,0
502,2025-08-11 06:07:26,item-91,click,78.89,24.99,0
121,2024-03-23 12:12:41,item-40,click,13.09,25,0
561,2024-09-30 02:41:41,item-84,purchase,57.85,25.04,1
227,2024-01-15 01:48:17,item-55,add-to-cart,15.28,25.06,0
221,2022-11-26 13:34:16,item-63,click,16.02,25.07,0
510,2023-11-27 11:34:21,item-64,favorite,87.6,25.08,0
435,2024-03-26 05:54:43,item-23,favorite,58.57,25.12,0
59,2024-01-25 09:12:20,item-33,add-to-cart,69.25,25.16,0
752,2024-09-01 01:06:51,item-36,favorite,38.57,25.21,0
762,2025-10-12 23:03:38,item-27,purchase,82.49,25.21,1
248,2026-05-05 00:44:14,item-84,click,49.12,25.22,0
715,2023-01-11 22:40:15,item-6,purchase,68.86,25.22,0
227,2024-05-29 23:05:28,item-24,click,97.11,25.23,0
35,2024-11-07 04:50:58,item-43,purchase,44.17,25.27,0
985,2026-04-11 18:33:00,item-93,add-to-cart,47.51,25.31,0
662,2026-01-05 15:47:14,item-67,view,24.24,25.34,0
245,2025-08-25 06:05:43,item-37,favorite,98.32,25.42,0
920,2024-09-11 23:52:42,item-92,purchase,35.64,25.53,1
301,2025-04-27 19:06:39,item-17,add-to-cart,35.84,25.59,1
294,2025-12-16 18:37:46,item-58,click,46.48,25.64,0
847,2024-04-16 20:48:56,item-48,add-to-cart,17.82,25.69,1
666,2023-06-27 18:29:55,item-23,favorite,82.17,25.7,0
784,2023-02-03 17:13:40,item-20,purchase,8.25,25.7,1
820,2023-08-11 15:44:20,item-81,view,56.31,25.72,0
998,2024-08-07 20:02:07,item-56,favorite,74.84,25.78,0
242,2026-02-28 00:37:18,item-66,click,85.12,25.79,0
213,2021-09-04 03:05:06,item-21,click,14.15,25.9,0
50,2025-07-28 12:29:14,item-70,purchase,82.36,25.91,1
494,2025-11-10 07:50:50,item-15,add-to-cart,23.05,25.93,0
636,2026-07-04 23:12:17,item-54,click,28.99,25.93,0
87,2025-12-10 07:26:59,item-47,add-to-cart,58.89,25.98,0
946,2025-11-07 15:14:20,item-24,purchase,89.26,26.02,1
556,2022-06-04 04:41:16,item-12,purchase,0.16,26.03,1
886,2022-06-07 10:34:02,item-80,view,64.82,26.04,1
173,2025-02-03 23:42:33,item-12,view,50.42,26.16,0
474,2026-03-03 08:18:40,item-21,view,44.96,26.16,0
258,2021-08-14 22:05:18,item-73,add-to-cart,78.97,26.18,0
988,2026-06-14 12:27:00,item-45,click,0.27,26.18,0
796,2025-03-15 00:26:16,item-43,favorite,17.31,26.19,0
441,2022-12-27 06:30:02,item-10,click,21.26,26.21,0
245,2026-05-26 10:47:02,item-59,view,20.71,26.22,0
816,2024-12-29 23:28:16,item-82,purchase,85.88,26.25,1
63,2026-05-22 06:45:27,item-94,view,72.99,26.27,0
732,2026-01-24 10:37:07,item-40,favorite,2.96,26.28,0
272,2026-04-23 17:02:17,item-56,favorite,8.25,26.29,0
826,2025-04-18 08:27:09,item-1,purchase,87.72,26.29,1
963,2026-04-04 21:08:38,item-32,add-to-cart,54.51,26.32,0
781,2026-03-26 16:05:43,item-14,click,54.13,26.34,0
927,2025-07-10 22:24:23,item-7,click,6.81,26.35,1
51,2023-10-07 03:27:32,item-40,add-to-cart,66.43,26.37,0
510,2022-08-11 21:04:11,item-78,add-to-cart,36.37,26.38,0
579,2023-01-20 22:59:09,item-26,view,63.34,26.4,0
926,2022-01-23 10:49:23,item-40,view,4.73,26.45,0
758,2026-05-13 14:47:18,item-36,click,44.65,26.46,0
749,2022-08-09 23:15:03,item-1,click,91.55,26.47,1
848,2025-05-29 16:30:37,item-72,add-to-cart,98.53,26.48,0
462,2024-09-14 00:42:16,item-42,purchase,8.73,26.49,1
796,2026-01-15 15:00:39,item-40,favorite,20.76,26.49,0
542,2025-11-22 18:44:47,item-20,purchase,19.26,26.53,0
202,2022-02-03 08:11:57,item-64,add-to-cart,98.79,26.55,0
365,2025-05-01 11:35:59,item-7,purchase,92.67,26.56,1
535,2026-02-16 03:01:59,item-40,view,82.21,26.57,0
3,2023-10-25 13:37:53,item-1,favorite,83.96,26.6,0
79,2025-09-15 15:30:53,item-87,favorite,97.79,26.61,1
982,2025-10-19 19:05:33,item-76,favorite,25.01,26.61,0
154,2024-12-28 15:53:11,item-38,view,12.29,26.62,0
936,2024-11-22 08:14:39,item-73,click,43.46,26.63,0
540,2024-09-30 09:13:31,item-92,view,19.36,26.66,0
551,2025-10-19 06:17:13,item-78,add-to-cart,33.51,26.71,0
934,2025-08-13 03:23:54,item-64,purchase,74.73,26.71,1
29,2024-05-25 02:17:12,item-90,favorite,70.64,26.72,0
818,2025-10-19 23:37:13,item-15,purchase,46.51,26.74,1
41,2025-07-28 02:48:45,item-2,view,9.09,26.75,0
664,2026-01-07 15:32:40,item-49,purchase,55.96,26.79,0
541,2026-05-02 10:12:20,item-46,click,15.69,26.92,1
621,2025-05-31 05:49:26,item-29,add-to-cart,39.58,26.96,1
411,2023-02-20 07:24:19,item-74,click,48.15,27.03,1
801,2025-12-05 05:08:47,item-86,click,45.15,27.03,0
157,2023-09-30 05:37:11,item-78,view,7.24,27.04,0
5,2025-09-12 06:57:00,item-62,favorite,77.9,27.12,0
570,2025-10-28 05:57:01,item-17,click,40.48,27.23,1
499,2025-08-18 21:17:15,item-60,click,32.42,27.26,0
934,2025-05-13 21:37:16,item-15,add-to-cart,11.6,27.31,0
541,2025-03-10 00:45:44,item-78,purchase,22.05,27.36,1
751,2025-06-26 07:17:14,item-54,click,7.24,27.37,0
623,2024-02-07 14:40:51,item-1,purchase,36.23,27.38,1
309,2026-06-09 11:56:47,item-18,view,37.09,27.39,0
596,2026-01-22 21:30:06,item-75,click,63.23,27.39,0
909,2025-04-18 14:36:49,item-96,favorite,28.57,27.42,0
510,2023-11-04 06:54:59,item-75,add-to-cart,60.03,27.44,0
26,2024-10-23 14:58:04,item-72,add-to-cart,78.99,27.47,0
328,2022-08-05 08:39:15,item-71,click,6.59,27.49,0
635,2024-08-11 17:46:42,item-64,purchase,57.78,27.51,1
370,2025-07-22 02:53:03,item-71,purchase,54.99,27.52,1
893,2025-08-06 00:38:01,item-26,view,17.08,27.63,0
965,2025-09-02 13:18:39,item-84,click,68.36,27.65,0
874,2025-12-22 03:21:30,item-41,click,27.84,27.67,1
288,2025-07-16 23:39:08,item-91,favorite,77.01,27.7,0
287,2022-12-15 19:23:39,item-94,favorite,88.45,27.72,0
264,2024-05-22 00:50:22,item-94,add-to-cart,83.19,27.77,0
727,2025-07-04 04:28:29,item-9,purchase,29.06,27.77,1
198,2025-11-05 21:13:01,item-36,add-to-cart,87.89,27.8,0
604,2024-07-28 06:28:28,item-78,favorite,78.44,27.81,0
599,2025-11-19 18:09:29,item-68,add-to-cart,3.06,27.84,1
649,2023-10-27 13:28:36,item-90,purchase,72.13,27.84,1
697,2022-03-20 14:11:38,item-87,click,75.32,27.84,0
603,2023-01-05 17:18:03,item-91,click,57.56,27.85,1
646,2023-10-22 12:02:32,item-52,favorite,56.7,27.86,1
799,2023-11-28 09:27:57,item-57,click,40.76,27.86,0
766,2025-08-24 14:18:40,item-90,purchase,77.59,27.92,1
436,2022-03-03 06:06:52,item-50,favorite,32.07,27.93,0
79,2025-04-29 19:52:09,item-54,click,73.48,27.94,0
836,2024-05-15 03:57:23,item-23,click,91.12,27.96,0
615,2025-06-27 10:23:10,item-59,click,62.54,27.97,0
647,2025-11-21 20:17:44,item-45,purchase,36.89,28.07,0
674,2021-08-16 10:38:04,item-92,add-to-cart,38.94,28.08,0
179,2021-03-01 00:10:19,item-84,click,48.31,28.09,1
178,2024-05-09 13:10:59,item-36,favorite,19.56,28.11,0
106,2023-02-06 06:19:01,item-64,click,23.07,28.13,1
64,2024-07-31 00:03:16,item-74,view,46.52,28.15,0
391,2024-06-25 06:08:45,item-40,click,26.91,28.15,0
445,2025-03-31 21:24:54,item-90,purchase,6.81,28.15,0
825,2022-09-17 21:22:15,item-27,purchase,23.05,28.26,0
680,2026-03-18 14:45:34,item-97,favorite,80.99,28.29,0
237,2022-09-13 12:50:40,item-81,purchase,80.68,28.3,1
761,2024-05-21 02:26:38,item-48,view,20.21,28.32,0
388,2025-11-19 10:26:01,item-21,add-to-cart,8.04,28.34,0
803,2022-04-11 00:45:00,item-73,favorite,12.1,28.34,0
291,2025-08-10 14:24:12,item-82,view,20.44,28.35,0
456,2024-08-06 20:46:00,item-75,view,90.72,28.35,0
483,2025-07-28 13:04:44,item-22,click,35.09,28.36,0
766,2024-01-30 07:44:01,item-57,add-to-cart,20.5,28.36,0
811,2025-12-21 13:34:38,item-50,click,80.63,28.37,0
772,2026-04-30 05:36:46,item-56,purchase,39.77,28.4,1
663,2024-03-17 19:47:30,item-62,click,70.64,28.43,0
483,2024-12-20 18:24:23,item-30,click,59.92,28.46,0
550,2024-02-27 09:19:36,item-61,click,37.07,28.48,0
853,2025-08-14 14:33:05,item-6,add-to-cart,83.28,28.48,0
901,2025-02-02 06:10:46,item-35,favorite,29.99,28.49,0
913,2024-03-20 02:23:55,item-15,favorite,41.86,28.49,0
5,2023-10-09 09:36:43,item-67,favorite,89.22,28.5,0
846,2024-10-18 11:14:39,item-23,purchase,59.58,28.51,1
393,2025-05-22 01:59:00,item-81,purchase,72.13,28.59,1
379,2026-07-05 20:37:12,item-86,view,58.64,28.61,0
646,2025-04-08 21:15:53,item-71,purchase,87.34,28.61,1
256,2023-06-20 19:35:42,item-63,click,92.26,28.62,1
331,2024-08-31 00:48:44,item-83,click,79.49,28.62,1
238,2024-02-15 17:12:56,item-73,view,37.66,28.63,0
887,2022-10-25 06:15:23,item-68,view,42.17,28.63,0
336,2023-11-02 05:06:46,item-46,favorite,71.2,28.65,0
907,2026-06-25 04:10:41,item-60,view,45.45,28.65,0
75,2026-03-19 05:19:28,item-34,favorite,55.22,28.71,0
355,2025-06-23 06:26:48,item-100,click,2.71,28.71,0
643,2025-09-11 12:02:50,item-58,add-to-cart,88.99,28.72,0
171,2023-06-14 11:25:15,item-13,view,10.4,28.73,0
404,2026-02-06 09:36:23,item-80,view,7.36,28.74,0
746,2025-05-06 00:35:43,item-73,view,99.07,28.74,0
752,2024-04-18 03:42:48,item-95,purchase,50.91,28.75,1
683,2024-10-29 09:30:51,item-95,favorite,23.54,28.77,0
763,2025-09-09 03:54:04,item-49,favorite,36.04,28.78,0
894,2026-04-25 04:50:11,item-24,click,31.67,28.79,0
699,2025-06-09 21:39:56,item-91,view,90.8,28.81,0
928,2025-12-07 13:50:59,item-29,purchase,72.94,28.86,0
104,2022-01-19 18:22:17,item-89,view,46.09,28.88,0
258,2024-09-12 07:45:59,item-44,favorite,3.78,28.89,0
106,2025-01-02 20:50:26,item-39,view,19.91,28.9,0
764,2025-10-16 00:24:05,item-84,view,73.88,28.93,0
185,2025-05-25 17:16:26,item-53,favorite,96.64,28.96,0
908,2026-02-03 14:27:12,item-90,favorite,9.3,29,0
294,2026-02-22 21:56:10,item-91,add-to-cart,49.08,29.01,1
305,2022-11-14 00:55:24,item-64,view,43.36,29.07,0
667,2023-08-26 05:02:08,item-29,favorite,70.48,29.08,0
945,2025-06-09 02:15:15,item-7,view,51.03,29.11,0
638,2026-01-03 23:34:52,item-85,add-to-cart,39.47,29.13,0
402,2023-08-05 04:43:10,item-2,purchase,1.94,29.15,1
880,2024-10-12 04:47:00,item-37,favorite,2.15,29.17,0
885,2023-10-24 20:37:49,item-45,favorite,60.29,29.17,0
123,2025-10-06 09:31:37,item-20,purchase,5.79,29.18,0
223,2025-06-10 08:18:04,item-97,favorite,20.88,29.18,0
129,2023-10-20 22:10:19,item-91,favorite,62.9,29.23,0
769,2025-07-05 22:01:48,item-90,click,58.68,29.24,0
263,2024-05-17 05:28:20,item-52,view,65.42,29.27,1
326,2026-01-31 12:45:14,item-58,add-to-cart,48.91,29.27,0
903,2022-10-21 11:35:13,item-40,purchase,87.44,29.27,1
184,2025-09-13 07:17:35,item-52,add-to-cart,59.88,29.28,0
256,2024-09-05 02:08:39,item-91,click,34.37,29.3,0
334,2023-03-26 06:56:18,item-73,add-to-cart,52.94,29.3,0
